condition,prompt_id,seed,latency_s,peak_vram_mb,clip_score,lpips,image_path
fp16,p01_portrait,42,6.571,1803.2,0.338809,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p01_portrait_seed42.png
fp16,p01_portrait,123,5.085,1803.2,0.315678,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p01_portrait_seed123.png
fp16,p01_portrait,456,4.107,1803.2,0.299856,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p01_portrait_seed456.png
fp16,p01_portrait,789,3.776,1803.2,0.318635,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p01_portrait_seed789.png
fp16,p01_portrait,1337,3.765,1803.2,0.341146,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p01_portrait_seed1337.png
fp16,p02_landscape,42,3.695,1803.2,0.324788,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p02_landscape_seed42.png
fp16,p02_landscape,123,3.736,1803.2,0.303472,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p02_landscape_seed123.png
fp16,p02_landscape,456,3.752,1803.2,0.321038,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p02_landscape_seed456.png
fp16,p02_landscape,789,3.791,1803.2,0.310605,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p02_landscape_seed789.png
fp16,p02_landscape,1337,4.138,1803.2,0.327202,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p02_landscape_seed1337.png
fp16,p03_abstract,42,4.482,1803.2,0.306955,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p03_abstract_seed42.png
fp16,p03_abstract,123,4.505,1803.2,0.306416,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p03_abstract_seed123.png
fp16,p03_abstract,456,4.466,1803.2,0.317099,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p03_abstract_seed456.png
fp16,p03_abstract,789,4.506,1803.2,0.339504,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p03_abstract_seed789.png
fp16,p03_abstract,1337,4.45,1803.2,0.321098,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p03_abstract_seed1337.png
fp16,p04_text,42,4.475,1803.2,0.314498,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p04_text_seed42.png
fp16,p04_text,123,4.432,1803.2,0.27346,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p04_text_seed123.png
fp16,p04_text,456,4.693,1803.2,0.284091,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p04_text_seed456.png
fp16,p04_text,789,4.435,1803.2,0.26017,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p04_text_seed789.png
fp16,p04_text,1337,4.509,1803.2,0.32503,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p04_text_seed1337.png
fp16,p05_texture,42,4.442,1803.2,0.334815,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p05_texture_seed42.png
fp16,p05_texture,123,4.649,1803.2,0.329882,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p05_texture_seed123.png
fp16,p05_texture,456,4.452,1803.2,0.281335,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p05_texture_seed456.png
fp16,p05_texture,789,4.491,1803.2,0.300384,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p05_texture_seed789.png
fp16,p05_texture,1337,4.332,1803.2,0.34199,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p05_texture_seed1337.png
fp16,p06_arch,42,4.702,1803.2,0.282387,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p06_arch_seed42.png
fp16,p06_arch,123,4.549,1803.2,0.306847,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p06_arch_seed123.png
fp16,p06_arch,456,4.455,1803.2,0.306006,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p06_arch_seed456.png
fp16,p06_arch,789,4.401,1803.2,0.33161,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p06_arch_seed789.png
fp16,p06_arch,1337,4.361,1803.2,0.306477,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p06_arch_seed1337.png
fp16,p07_hands,42,4.502,1803.2,0.278335,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p07_hands_seed42.png
fp16,p07_hands,123,4.572,1803.2,0.265632,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p07_hands_seed123.png
fp16,p07_hands,456,4.355,1803.2,0.29368,0.0,reports/experiments/exp1_quantization_quality/images/fp16/p07_hands_seed456.png
