condition,prompt_id,seed,latency_s,peak_vram_mb,clip_score,hps_score,ir_score,lpips,image_path
fp16,p01_portrait,42,21.113,5334.8,0.353404,0.338135,1.551627,0.0,reports/experiments/exp1_sdxl/images/fp16/p01_portrait_seed42.png
fp16,p01_portrait,123,16.812,5334.8,0.374878,0.324707,1.475471,0.0,reports/experiments/exp1_sdxl/images/fp16/p01_portrait_seed123.png
fp16,p01_portrait,456,15.875,5334.8,0.378713,0.339355,1.403608,0.0,reports/experiments/exp1_sdxl/images/fp16/p01_portrait_seed456.png
fp16,p01_portrait,789,15.892,5334.8,0.369861,0.357422,1.2987,0.0,reports/experiments/exp1_sdxl/images/fp16/p01_portrait_seed789.png
fp16,p01_portrait,1337,16.117,5334.8,0.370065,0.349365,1.447994,0.0,reports/experiments/exp1_sdxl/images/fp16/p01_portrait_seed1337.png
fp16,p02_landscape,42,16.264,5334.8,0.33726,0.273926,1.120606,0.0,reports/experiments/exp1_sdxl/images/fp16/p02_landscape_seed42.png
fp16,p02_landscape,123,16.458,5334.8,0.341211,0.306152,1.078314,0.0,reports/experiments/exp1_sdxl/images/fp16/p02_landscape_seed123.png
fp16,p02_landscape,456,16.303,5334.8,0.334793,0.240479,0.570276,0.0,reports/experiments/exp1_sdxl/images/fp16/p02_landscape_seed456.png
fp16,p02_landscape,789,16.605,5334.8,0.336726,0.257324,1.062544,0.0,reports/experiments/exp1_sdxl/images/fp16/p02_landscape_seed789.png
fp16,p02_landscape,1337,16.597,5334.8,0.332767,0.260742,1.012259,0.0,reports/experiments/exp1_sdxl/images/fp16/p02_landscape_seed1337.png
fp16,p03_abstract,42,16.551,5334.8,0.329038,0.238281,0.07006,0.0,reports/experiments/exp1_sdxl/images/fp16/p03_abstract_seed42.png
fp16,p03_abstract,123,16.545,5334.8,0.31187,0.234253,-0.133429,0.0,reports/experiments/exp1_sdxl/images/fp16/p03_abstract_seed123.png
fp16,p03_abstract,456,16.57,5334.8,0.32202,0.213989,0.139753,0.0,reports/experiments/exp1_sdxl/images/fp16/p03_abstract_seed456.png
fp16,p03_abstract,789,16.411,5334.8,0.314377,0.232666,0.029613,0.0,reports/experiments/exp1_sdxl/images/fp16/p03_abstract_seed789.png
fp16,p03_abstract,1337,16.462,5334.8,0.336815,0.243286,0.235699,0.0,reports/experiments/exp1_sdxl/images/fp16/p03_abstract_seed1337.png
fp16,p04_text,42,16.291,5334.8,0.278353,0.284424,0.752115,0.0,reports/experiments/exp1_sdxl/images/fp16/p04_text_seed42.png
fp16,p04_text,123,16.582,5334.8,0.28971,0.286133,0.796285,0.0,reports/experiments/exp1_sdxl/images/fp16/p04_text_seed123.png
fp16,p04_text,456,16.539,5334.8,0.30095,0.282227,0.747393,0.0,reports/experiments/exp1_sdxl/images/fp16/p04_text_seed456.png
fp16,p04_text,789,16.548,5334.8,0.30773,0.267334,0.289235,0.0,reports/experiments/exp1_sdxl/images/fp16/p04_text_seed789.png
fp16,p04_text,1337,16.576,5334.8,0.307549,0.276611,0.622138,0.0,reports/experiments/exp1_sdxl/images/fp16/p04_text_seed1337.png
fp16,p05_texture,42,16.597,5334.8,0.317682,0.241577,-0.275484,0.0,reports/experiments/exp1_sdxl/images/fp16/p05_texture_seed42.png
fp16,p05_texture,123,16.372,5334.8,0.355118,0.239868,0.530166,0.0,reports/experiments/exp1_sdxl/images/fp16/p05_texture_seed123.png
fp16,p05_texture,456,16.58,5334.8,0.298212,0.248169,-0.68475,0.0,reports/experiments/exp1_sdxl/images/fp16/p05_texture_seed456.png
fp16,p05_texture,789,16.389,5334.8,0.306323,0.224976,-0.172431,0.0,reports/experiments/exp1_sdxl/images/fp16/p05_texture_seed789.png
fp16,p05_texture,1337,16.582,5334.8,0.327506,0.259521,0.86401,0.0,reports/experiments/exp1_sdxl/images/fp16/p05_texture_seed1337.png
fp16,p06_arch,42,16.581,5334.8,0.328662,0.325684,0.056232,0.0,reports/experiments/exp1_sdxl/images/fp16/p06_arch_seed42.png
fp16,p06_arch,123,16.579,5334.8,0.334899,0.32373,0.28514,0.0,reports/experiments/exp1_sdxl/images/fp16/p06_arch_seed123.png
fp16,p06_arch,456,16.307,5334.8,0.315279,0.306885,-0.116476,0.0,reports/experiments/exp1_sdxl/images/fp16/p06_arch_seed456.png
fp16,p06_arch,789,16.639,5334.8,0.321636,0.322266,0.140377,0.0,reports/experiments/exp1_sdxl/images/fp16/p06_arch_seed789.png
fp16,p06_arch,1337,16.545,5334.8,0.33171,0.320801,0.063695,0.0,reports/experiments/exp1_sdxl/images/fp16/p06_arch_seed1337.png
fp16,p07_hands,42,16.397,5334.8,0.340038,0.284668,0.423801,0.0,reports/experiments/exp1_sdxl/images/fp16/p07_hands_seed42.png
fp16,p07_hands,123,16.45,5334.8,0.316631,0.260742,-0.29157,0.0,reports/experiments/exp1_sdxl/images/fp16/p07_hands_seed123.png
fp16,p07_hands,456,16.46,5334.8,0.321586,0.276855,0.69291,0.0,reports/experiments/exp1_sdxl/images/fp16/p07_hands_seed456.png
fp16,p07_hands,789,16.444,5334.8,0.322679,0.279297,0.229475,0.0,reports/experiments/exp1_sdxl/images/fp16/p07_hands_seed789.png
fp16,p07_hands,1337,16.476,5334.8,0.327164,0.239502,0.133321,0.0,reports/experiments/exp1_sdxl/images/fp16/p07_hands_seed1337.png
fp16,p08_crowd,42,16.138,5334.8,0.338448,0.311768,1.582398,0.0,reports/experiments/exp1_sdxl/images/fp16/p08_crowd_seed42.png
fp16,p08_crowd,123,16.465,5334.8,0.332008,0.303711,1.715656,0.0,reports/experiments/exp1_sdxl/images/fp16/p08_crowd_seed123.png
fp16,p08_crowd,456,16.29,5334.8,0.319668,0.294678,1.522429,0.0,reports/experiments/exp1_sdxl/images/fp16/p08_crowd_seed456.png
fp16,p08_crowd,789,16.292,5334.8,0.339869,0.314697,1.225666,0.0,reports/experiments/exp1_sdxl/images/fp16/p08_crowd_seed789.png
fp16,p08_crowd,1337,16.515,5334.8,0.312441,0.294678,1.600303,0.0,reports/experiments/exp1_sdxl/images/fp16/p08_crowd_seed1337.png
int8,p01_portrait,42,34.405,5497.7,0.357923,0.339355,1.546421,0.036896,reports/experiments/exp1_sdxl/images/int8/p01_portrait_seed42.png
int8,p01_portrait,123,26.485,5497.7,0.375708,0.325928,1.504047,0.030859,reports/experiments/exp1_sdxl/images/int8/p01_portrait_seed123.png
int8,p01_portrait,456,26.648,5497.7,0.376721,0.336914,1.456223,0.082977,reports/experiments/exp1_sdxl/images/int8/p01_portrait_seed456.png
int8,p01_portrait,789,26.734,5497.7,0.371669,0.35498,1.293069,0.041627,reports/experiments/exp1_sdxl/images/int8/p01_portrait_seed789.png
int8,p01_portrait,1337,26.656,5497.7,0.373178,0.350098,1.489083,0.019093,reports/experiments/exp1_sdxl/images/int8/p01_portrait_seed1337.png
int8,p02_landscape,42,26.534,5497.7,0.337621,0.275146,1.17668,0.024221,reports/experiments/exp1_sdxl/images/int8/p02_landscape_seed42.png
int8,p02_landscape,123,26.586,5497.7,0.33981,0.302734,1.084632,0.037756,reports/experiments/exp1_sdxl/images/int8/p02_landscape_seed123.png
int8,p02_landscape,456,26.569,5497.6,0.332178,0.241943,0.569474,0.032824,reports/experiments/exp1_sdxl/images/int8/p02_landscape_seed456.png
int8,p02_landscape,789,26.528,5497.7,0.33625,0.258545,1.085275,0.023014,reports/experiments/exp1_sdxl/images/int8/p02_landscape_seed789.png
int8,p02_landscape,1337,26.4,5497.7,0.332571,0.260498,1.112051,0.045978,reports/experiments/exp1_sdxl/images/int8/p02_landscape_seed1337.png
int8,p03_abstract,42,26.205,5497.6,0.324496,0.224243,0.174182,0.238444,reports/experiments/exp1_sdxl/images/int8/p03_abstract_seed42.png
int8,p03_abstract,123,26.186,5497.6,0.306203,0.233765,-0.217529,0.229697,reports/experiments/exp1_sdxl/images/int8/p03_abstract_seed123.png
int8,p03_abstract,456,26.477,5497.7,0.316216,0.21521,0.067404,0.136142,reports/experiments/exp1_sdxl/images/int8/p03_abstract_seed456.png
int8,p03_abstract,789,26.309,5497.7,0.313835,0.227539,0.124319,0.238855,reports/experiments/exp1_sdxl/images/int8/p03_abstract_seed789.png
int8,p03_abstract,1337,26.369,5497.7,0.338221,0.23999,0.161086,0.190208,reports/experiments/exp1_sdxl/images/int8/p03_abstract_seed1337.png
int8,p04_text,42,26.461,5497.7,0.283075,0.297363,0.473403,0.119094,reports/experiments/exp1_sdxl/images/int8/p04_text_seed42.png
