condition,prompt_id,seed,latency_s,clip_score,lpips,image_path
no_neg,p01_portrait,42,10.561,0.348926,0.566974,reports/experiments/exp2_negative_prompt/images/no_neg/p01_portrait_seed42.png
no_neg,p01_portrait,123,8.012,0.341058,0.310258,reports/experiments/exp2_negative_prompt/images/no_neg/p01_portrait_seed123.png
no_neg,p01_portrait,456,7.193,0.314015,0.500099,reports/experiments/exp2_negative_prompt/images/no_neg/p01_portrait_seed456.png
no_neg,p01_portrait,789,7.313,0.353016,0.684121,reports/experiments/exp2_negative_prompt/images/no_neg/p01_portrait_seed789.png
no_neg,p01_portrait,1337,7.164,0.36515,0.552039,reports/experiments/exp2_negative_prompt/images/no_neg/p01_portrait_seed1337.png
no_neg,p02_landscape,42,7.552,0.32664,0.491115,reports/experiments/exp2_negative_prompt/images/no_neg/p02_landscape_seed42.png
no_neg,p02_landscape,123,6.812,0.316421,0.554658,reports/experiments/exp2_negative_prompt/images/no_neg/p02_landscape_seed123.png
no_neg,p02_landscape,456,6.035,0.325759,0.393563,reports/experiments/exp2_negative_prompt/images/no_neg/p02_landscape_seed456.png
no_neg,p02_landscape,789,5.573,0.311558,0.373331,reports/experiments/exp2_negative_prompt/images/no_neg/p02_landscape_seed789.png
no_neg,p02_landscape,1337,5.752,0.324925,0.362502,reports/experiments/exp2_negative_prompt/images/no_neg/p02_landscape_seed1337.png
no_neg,p03_abstract,42,5.663,0.30527,0.317651,reports/experiments/exp2_negative_prompt/images/no_neg/p03_abstract_seed42.png
no_neg,p03_abstract,123,7.79,0.310747,0.279145,reports/experiments/exp2_negative_prompt/images/no_neg/p03_abstract_seed123.png
no_neg,p03_abstract,456,7.135,0.328863,0.372387,reports/experiments/exp2_negative_prompt/images/no_neg/p03_abstract_seed456.png
no_neg,p03_abstract,789,7.37,0.314966,0.421364,reports/experiments/exp2_negative_prompt/images/no_neg/p03_abstract_seed789.png
no_neg,p03_abstract,1337,7.185,0.298997,0.36664,reports/experiments/exp2_negative_prompt/images/no_neg/p03_abstract_seed1337.png
no_neg,p04_text,42,7.357,0.250834,0.427061,reports/experiments/exp2_negative_prompt/images/no_neg/p04_text_seed42.png
no_neg,p04_text,123,5.344,0.255281,0.451758,reports/experiments/exp2_negative_prompt/images/no_neg/p04_text_seed123.png
no_neg,p04_text,456,5.334,0.306861,0.520922,reports/experiments/exp2_negative_prompt/images/no_neg/p04_text_seed456.png
no_neg,p04_text,789,5.591,0.259341,0.330838,reports/experiments/exp2_negative_prompt/images/no_neg/p04_text_seed789.png
no_neg,p04_text,1337,5.293,0.315138,0.616573,reports/experiments/exp2_negative_prompt/images/no_neg/p04_text_seed1337.png
no_neg,p05_texture,42,5.393,0.304877,0.452322,reports/experiments/exp2_negative_prompt/images/no_neg/p05_texture_seed42.png
no_neg,p05_texture,123,5.591,0.332437,0.5844,reports/experiments/exp2_negative_prompt/images/no_neg/p05_texture_seed123.png
no_neg,p05_texture,456,5.335,0.289291,0.332841,reports/experiments/exp2_negative_prompt/images/no_neg/p05_texture_seed456.png
no_neg,p05_texture,789,5.549,0.302724,0.642189,reports/experiments/exp2_negative_prompt/images/no_neg/p05_texture_seed789.png
no_neg,p05_texture,1337,5.423,0.333267,0.551723,reports/experiments/exp2_negative_prompt/images/no_neg/p05_texture_seed1337.png
no_neg,p06_arch,42,6.807,0.307343,0.546199,reports/experiments/exp2_negative_prompt/images/no_neg/p06_arch_seed42.png
no_neg,p06_arch,123,7.938,0.313356,0.290604,reports/experiments/exp2_negative_prompt/images/no_neg/p06_arch_seed123.png
no_neg,p06_arch,456,6.027,0.316826,0.434699,reports/experiments/exp2_negative_prompt/images/no_neg/p06_arch_seed456.png
no_neg,p06_arch,789,5.328,0.336968,0.469467,reports/experiments/exp2_negative_prompt/images/no_neg/p06_arch_seed789.png
no_neg,p06_arch,1337,6.771,0.32253,0.496224,reports/experiments/exp2_negative_prompt/images/no_neg/p06_arch_seed1337.png
no_neg,p07_hands,42,5.24,0.292536,0.432655,reports/experiments/exp2_negative_prompt/images/no_neg/p07_hands_seed42.png
no_neg,p07_hands,123,5.266,0.311718,0.697794,reports/experiments/exp2_negative_prompt/images/no_neg/p07_hands_seed123.png
no_neg,p07_hands,456,4.898,0.289612,0.373351,reports/experiments/exp2_negative_prompt/images/no_neg/p07_hands_seed456.png
no_neg,p07_hands,789,7.044,0.349741,0.419018,reports/experiments/exp2_negative_prompt/images/no_neg/p07_hands_seed789.png
no_neg,p07_hands,1337,6.874,0.277339,0.578906,reports/experiments/exp2_negative_prompt/images/no_neg/p07_hands_seed1337.png
no_neg,p08_crowd,42,6.646,0.332677,0.430904,reports/experiments/exp2_negative_prompt/images/no_neg/p08_crowd_seed42.png
no_neg,p08_crowd,123,6.981,0.32936,0.365605,reports/experiments/exp2_negative_prompt/images/no_neg/p08_crowd_seed123.png
no_neg,p08_crowd,456,6.724,0.334518,0.511582,reports/experiments/exp2_negative_prompt/images/no_neg/p08_crowd_seed456.png
no_neg,p08_crowd,789,6.841,0.339431,0.43465,reports/experiments/exp2_negative_prompt/images/no_neg/p08_crowd_seed789.png
no_neg,p08_crowd,1337,7.273,0.340353,0.502444,reports/experiments/exp2_negative_prompt/images/no_neg/p08_crowd_seed1337.png
with_neg,p01_portrait,42,7.446,0.338809,0.566974,reports/experiments/exp2_negative_prompt/images/with_neg/p01_portrait_seed42.png
