condition,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_no_neg,image_path
no_neg,p01_portrait,42,51.636,0.382043,0.340576,1.552446,0.397738,reports/experiments/exp2_sdxl/images/no_neg/p01_portrait_seed42.png
no_neg,p01_portrait,123,17.588,0.380187,0.308105,1.56695,0.217829,reports/experiments/exp2_sdxl/images/no_neg/p01_portrait_seed123.png
no_neg,p01_portrait,456,16.832,0.37696,0.329102,1.752546,0.189943,reports/experiments/exp2_sdxl/images/no_neg/p01_portrait_seed456.png
no_neg,p01_portrait,789,16.165,0.377331,0.335938,1.375827,0.181589,reports/experiments/exp2_sdxl/images/no_neg/p01_portrait_seed789.png
no_neg,p01_portrait,1337,16.055,0.380165,0.326416,1.63953,0.261236,reports/experiments/exp2_sdxl/images/no_neg/p01_portrait_seed1337.png
no_neg,p02_landscape,42,16.081,0.331931,0.262451,1.08477,0.168831,reports/experiments/exp2_sdxl/images/no_neg/p02_landscape_seed42.png
no_neg,p02_landscape,123,15.889,0.335709,0.276123,1.199044,0.393518,reports/experiments/exp2_sdxl/images/no_neg/p02_landscape_seed123.png
no_neg,p02_landscape,456,15.857,0.336431,0.234131,0.523891,0.265654,reports/experiments/exp2_sdxl/images/no_neg/p02_landscape_seed456.png
no_neg,p02_landscape,789,15.864,0.341011,0.237671,0.898716,0.202839,reports/experiments/exp2_sdxl/images/no_neg/p02_landscape_seed789.png
no_neg,p02_landscape,1337,15.955,0.332744,0.244507,0.804088,0.157083,reports/experiments/exp2_sdxl/images/no_neg/p02_landscape_seed1337.png
no_neg,p03_abstract,42,16.174,0.326955,0.239746,0.23088,0.425954,reports/experiments/exp2_sdxl/images/no_neg/p03_abstract_seed42.png
no_neg,p03_abstract,123,16.098,0.317947,0.246948,-0.417033,0.321219,reports/experiments/exp2_sdxl/images/no_neg/p03_abstract_seed123.png
no_neg,p03_abstract,456,16.163,0.328986,0.221436,0.360115,0.526215,reports/experiments/exp2_sdxl/images/no_neg/p03_abstract_seed456.png
no_neg,p03_abstract,789,15.891,0.319754,0.231323,0.099559,0.324399,reports/experiments/exp2_sdxl/images/no_neg/p03_abstract_seed789.png
no_neg,p03_abstract,1337,16.209,0.335947,0.234253,0.495219,0.514125,reports/experiments/exp2_sdxl/images/no_neg/p03_abstract_seed1337.png
no_neg,p04_text,42,16.205,0.282646,0.266602,0.797679,0.456175,reports/experiments/exp2_sdxl/images/no_neg/p04_text_seed42.png
no_neg,p04_text,123,16.211,0.27447,0.251221,0.440257,0.482233,reports/experiments/exp2_sdxl/images/no_neg/p04_text_seed123.png
no_neg,p04_text,456,16.209,0.294817,0.28833,0.791027,0.357086,reports/experiments/exp2_sdxl/images/no_neg/p04_text_seed456.png
no_neg,p04_text,789,16.273,0.297115,0.236816,0.693252,0.548673,reports/experiments/exp2_sdxl/images/no_neg/p04_text_seed789.png
no_neg,p04_text,1337,15.924,0.308963,0.257568,0.681309,0.331727,reports/experiments/exp2_sdxl/images/no_neg/p04_text_seed1337.png
no_neg,p05_texture,42,15.963,0.318202,0.251221,0.06623,0.648429,reports/experiments/exp2_sdxl/images/no_neg/p05_texture_seed42.png
no_neg,p05_texture,123,16.206,0.332838,0.250732,-0.685805,0.694511,reports/experiments/exp2_sdxl/images/no_neg/p05_texture_seed123.png
no_neg,p05_texture,456,15.982,0.345549,0.258057,0.822771,0.402104,reports/experiments/exp2_sdxl/images/no_neg/p05_texture_seed456.png
no_neg,p05_texture,789,16.293,0.322928,0.245605,0.308036,0.506938,reports/experiments/exp2_sdxl/images/no_neg/p05_texture_seed789.png
no_neg,p05_texture,1337,16.026,0.350621,0.248657,0.728366,0.495384,reports/experiments/exp2_sdxl/images/no_neg/p05_texture_seed1337.png
no_neg,p06_arch,42,15.97,0.31437,0.295654,0.200696,0.322125,reports/experiments/exp2_sdxl/images/no_neg/p06_arch_seed42.png
no_neg,p06_arch,123,15.922,0.318167,0.294434,-0.570438,0.347211,reports/experiments/exp2_sdxl/images/no_neg/p06_arch_seed123.png
no_neg,p06_arch,456,15.845,0.312719,0.276611,-0.413503,0.466129,reports/experiments/exp2_sdxl/images/no_neg/p06_arch_seed456.png
no_neg,p06_arch,789,16.012,0.326505,0.3125,-0.006104,0.380038,reports/experiments/exp2_sdxl/images/no_neg/p06_arch_seed789.png
no_neg,p06_arch,1337,15.909,0.340055,0.312744,-0.075863,0.288319,reports/experiments/exp2_sdxl/images/no_neg/p06_arch_seed1337.png
no_neg,p07_hands,42,15.943,0.324421,0.274414,0.565399,0.288918,reports/experiments/exp2_sdxl/images/no_neg/p07_hands_seed42.png
no_neg,p07_hands,123,15.95,0.333491,0.272461,0.5977,0.475049,reports/experiments/exp2_sdxl/images/no_neg/p07_hands_seed123.png
no_neg,p07_hands,456,16.045,0.30885,0.270508,0.70605,0.416086,reports/experiments/exp2_sdxl/images/no_neg/p07_hands_seed456.png
no_neg,p07_hands,789,16.299,0.312286,0.275879,0.334956,0.456364,reports/experiments/exp2_sdxl/images/no_neg/p07_hands_seed789.png
no_neg,p07_hands,1337,15.964,0.305674,0.259766,0.64652,0.269678,reports/experiments/exp2_sdxl/images/no_neg/p07_hands_seed1337.png
no_neg,p08_crowd,42,16.003,0.327204,0.296631,1.719493,0.378222,reports/experiments/exp2_sdxl/images/no_neg/p08_crowd_seed42.png
no_neg,p08_crowd,123,16.311,0.322099,0.29834,1.730712,0.381736,reports/experiments/exp2_sdxl/images/no_neg/p08_crowd_seed123.png
no_neg,p08_crowd,456,16.157,0.327277,0.278809,1.390715,0.334934,reports/experiments/exp2_sdxl/images/no_neg/p08_crowd_seed456.png
no_neg,p08_crowd,789,16.286,0.338902,0.29126,1.338648,0.302139,reports/experiments/exp2_sdxl/images/no_neg/p08_crowd_seed789.png
no_neg,p08_crowd,1337,16.313,0.331837,0.296143,1.603472,0.40157,reports/experiments/exp2_sdxl/images/no_neg/p08_crowd_seed1337.png
with_neg,p01_portrait,42,16.495,0.36219,0.338135,1.538647,0.397738,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed42.png
with_neg,p01_portrait,123,16.516,0.386301,0.320312,1.570456,0.217829,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed123.png
with_neg,p01_portrait,456,16.56,0.36984,0.35083,1.603544,0.189943,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed456.png
with_neg,p01_portrait,789,16.547,0.376916,0.354004,1.33127,0.181589,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed789.png
with_neg,p01_portrait,1337,16.512,0.385104,0.347168,1.633171,0.261236,reports/experiments/exp2_sdxl/images/with_neg/p01_portrait_seed1337.png
with_neg,p02_landscape,42,16.555,0.335829,0.277588,1.196787,0.168831,reports/experiments/exp2_sdxl/images/with_neg/p02_landscape_seed42.png
with_neg,p02_landscape,123,16.686,0.341698,0.30542,0.887681,0.393518,reports/experiments/exp2_sdxl/images/with_neg/p02_landscape_seed123.png
with_neg,p02_landscape,456,16.593,0.330168,0.247437,0.787712,0.265654,reports/experiments/exp2_sdxl/images/with_neg/p02_landscape_seed456.png
with_neg,p02_landscape,789,16.605,0.335347,0.257568,1.027135,0.202839,reports/experiments/exp2_sdxl/images/with_neg/p02_landscape_seed789.png
