cfg,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
1,p01_portrait,42,12.093,0.251074,0.676768,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p01_portrait_seed42.png
1,p01_portrait,123,8.174,0.194151,0.633666,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p01_portrait_seed123.png
1,p01_portrait,456,6.452,0.167893,0.841419,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p01_portrait_seed456.png
1,p01_portrait,789,6.125,0.162499,0.738826,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p01_portrait_seed789.png
1,p01_portrait,1337,6.315,0.221278,0.694872,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p01_portrait_seed1337.png
1,p02_landscape,42,7.033,0.099477,0.754327,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p02_landscape_seed42.png
1,p02_landscape,123,5.949,0.134965,0.654306,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p02_landscape_seed123.png
1,p02_landscape,456,6.168,0.136475,0.758739,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p02_landscape_seed456.png
1,p02_landscape,789,5.714,0.224164,0.710588,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p02_landscape_seed789.png
1,p02_landscape,1337,6.599,0.237312,0.616847,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p02_landscape_seed1337.png
1,p03_abstract,42,7.906,0.313219,0.670663,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p03_abstract_seed42.png
1,p03_abstract,123,7.577,0.279311,0.740215,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p03_abstract_seed123.png
1,p03_abstract,456,7.233,0.291005,0.640301,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p03_abstract_seed456.png
1,p03_abstract,789,7.935,0.245021,0.680223,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p03_abstract_seed789.png
1,p03_abstract,1337,5.623,0.300561,0.710894,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p03_abstract_seed1337.png
1,p04_text,42,5.727,0.226019,0.727919,,reports/experiments/exp3_cfg_sweep/images/cfg_1/p04_text_seed42.png
