cfg_value,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,lpips_vs_prev,image_path
1,p01_portrait,42,47.509,0.349064,0.267334,1.526657,0.603097,,reports/experiments/exp3_sdxl/images/cfg_1/p01_portrait_seed42.png
1,p01_portrait,123,11.903,0.348587,0.206909,0.36491,0.664753,,reports/experiments/exp3_sdxl/images/cfg_1/p01_portrait_seed123.png
1,p01_portrait,456,10.698,0.347096,0.256348,0.870524,0.516593,,reports/experiments/exp3_sdxl/images/cfg_1/p01_portrait_seed456.png
1,p01_portrait,789,10.667,0.351226,0.220459,0.211241,0.543737,,reports/experiments/exp3_sdxl/images/cfg_1/p01_portrait_seed789.png
1,p01_portrait,1337,10.361,0.37371,0.248047,1.319015,0.56457,,reports/experiments/exp3_sdxl/images/cfg_1/p01_portrait_seed1337.png
1,p02_landscape,42,10.483,0.329568,0.227783,0.63192,0.377099,,reports/experiments/exp3_sdxl/images/cfg_1/p02_landscape_seed42.png
1,p02_landscape,123,10.39,0.322765,0.219116,-0.604532,0.642386,,reports/experiments/exp3_sdxl/images/cfg_1/p02_landscape_seed123.png
1,p02_landscape,456,10.346,0.315376,0.213745,-0.639064,0.376378,,reports/experiments/exp3_sdxl/images/cfg_1/p02_landscape_seed456.png
1,p02_landscape,789,10.421,0.31121,0.199585,-1.263254,0.614797,,reports/experiments/exp3_sdxl/images/cfg_1/p02_landscape_seed789.png
1,p02_landscape,1337,10.421,0.335515,0.194214,-0.335143,0.63217,,reports/experiments/exp3_sdxl/images/cfg_1/p02_landscape_seed1337.png
1,p03_abstract,42,10.302,0.28696,0.199219,-0.708886,0.601374,,reports/experiments/exp3_sdxl/images/cfg_1/p03_abstract_seed42.png
1,p03_abstract,123,10.489,0.275592,0.185059,-0.645241,0.504616,,reports/experiments/exp3_sdxl/images/cfg_1/p03_abstract_seed123.png
1,p03_abstract,456,10.312,0.301247,0.18396,-0.888157,0.680919,,reports/experiments/exp3_sdxl/images/cfg_1/p03_abstract_seed456.png
1,p03_abstract,789,10.579,0.265501,0.180298,-1.62852,0.622221,,reports/experiments/exp3_sdxl/images/cfg_1/p03_abstract_seed789.png
1,p03_abstract,1337,10.45,0.288335,0.186035,-1.506557,0.664756,,reports/experiments/exp3_sdxl/images/cfg_1/p03_abstract_seed1337.png
1,p04_text,42,10.461,0.241774,0.191284,-0.229023,0.565818,,reports/experiments/exp3_sdxl/images/cfg_1/p04_text_seed42.png
1,p04_text,123,10.481,0.216699,0.140381,-1.875489,0.63241,,reports/experiments/exp3_sdxl/images/cfg_1/p04_text_seed123.png
1,p04_text,456,10.434,0.253332,0.194702,-1.196487,0.62478,,reports/experiments/exp3_sdxl/images/cfg_1/p04_text_seed456.png
1,p04_text,789,10.478,0.223211,0.133423,-1.688587,0.636128,,reports/experiments/exp3_sdxl/images/cfg_1/p04_text_seed789.png
1,p04_text,1337,10.502,0.280125,0.174316,-0.653052,0.633057,,reports/experiments/exp3_sdxl/images/cfg_1/p04_text_seed1337.png
1,p05_texture,42,10.444,0.266179,0.188599,-1.438799,0.651066,,reports/experiments/exp3_sdxl/images/cfg_1/p05_texture_seed42.png
1,p05_texture,123,10.344,0.324643,0.208618,-0.860512,0.573798,,reports/experiments/exp3_sdxl/images/cfg_1/p05_texture_seed123.png
1,p05_texture,456,10.491,0.298125,0.207764,-0.542235,0.605789,,reports/experiments/exp3_sdxl/images/cfg_1/p05_texture_seed456.png
1,p05_texture,789,10.496,0.258401,0.197021,-1.502508,0.602468,,reports/experiments/exp3_sdxl/images/cfg_1/p05_texture_seed789.png
1,p05_texture,1337,10.513,0.242648,0.186401,-1.621629,0.761206,,reports/experiments/exp3_sdxl/images/cfg_1/p05_texture_seed1337.png
1,p06_arch,42,10.362,0.318348,0.214478,-1.978889,0.516962,,reports/experiments/exp3_sdxl/images/cfg_1/p06_arch_seed42.png
1,p06_arch,123,10.579,0.299112,0.218506,-0.78712,0.470475,,reports/experiments/exp3_sdxl/images/cfg_1/p06_arch_seed123.png
1,p06_arch,456,10.381,0.306572,0.196533,-1.236624,0.609583,,reports/experiments/exp3_sdxl/images/cfg_1/p06_arch_seed456.png
1,p06_arch,789,10.4,0.31643,0.21582,-0.776298,0.508394,,reports/experiments/exp3_sdxl/images/cfg_1/p06_arch_seed789.png
1,p06_arch,1337,10.529,0.321007,0.237061,-0.856427,0.53545,,reports/experiments/exp3_sdxl/images/cfg_1/p06_arch_seed1337.png
1,p07_hands,42,10.556,0.33237,0.236938,-0.043352,0.510559,,reports/experiments/exp3_sdxl/images/cfg_1/p07_hands_seed42.png
1,p07_hands,123,10.551,0.338419,0.195312,-0.62087,0.524101,,reports/experiments/exp3_sdxl/images/cfg_1/p07_hands_seed123.png
1,p07_hands,456,10.544,0.302565,0.201782,-0.521623,0.652099,,reports/experiments/exp3_sdxl/images/cfg_1/p07_hands_seed456.png
1,p07_hands,789,10.542,0.323893,0.210815,-1.026577,0.638494,,reports/experiments/exp3_sdxl/images/cfg_1/p07_hands_seed789.png
1,p07_hands,1337,10.542,0.3371,0.18811,-0.534774,0.447562,,reports/experiments/exp3_sdxl/images/cfg_1/p07_hands_seed1337.png
1,p08_crowd,42,10.459,0.302652,0.220459,0.285839,0.528643,,reports/experiments/exp3_sdxl/images/cfg_1/p08_crowd_seed42.png
1,p08_crowd,123,10.326,0.291798,0.191284,-1.321658,0.528895,,reports/experiments/exp3_sdxl/images/cfg_1/p08_crowd_seed123.png
1,p08_crowd,456,10.532,0.275192,0.21936,0.701231,0.464522,,reports/experiments/exp3_sdxl/images/cfg_1/p08_crowd_seed456.png
1,p08_crowd,789,10.548,0.319451,0.250977,-0.228306,0.546233,,reports/experiments/exp3_sdxl/images/cfg_1/p08_crowd_seed789.png
1,p08_crowd,1337,10.469,0.268996,0.187134,-0.463478,0.596734,,reports/experiments/exp3_sdxl/images/cfg_1/p08_crowd_seed1337.png
