scheduler,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,image_path
DDIM,p01_portrait,42,52.7,0.335582,0.32666,-0.028127,reports/experiments/exp4_sdxl/images/DDIM/p01_portrait_seed42.png
DDIM,p02_landscape,42,17.136,0.32928,0.288574,1.556537,reports/experiments/exp4_sdxl/images/DDIM/p02_landscape_seed42.png
DDIM,p03_abstract,42,16.651,0.269828,0.226929,0.44728,reports/experiments/exp4_sdxl/images/DDIM/p03_abstract_seed42.png
DDIM,p04_text,42,16.701,0.304832,0.221436,0.798561,reports/experiments/exp4_sdxl/images/DDIM/p04_text_seed42.png
DDIM,p05_texture,42,16.599,0.324959,0.203613,-1.887221,reports/experiments/exp4_sdxl/images/DDIM/p05_texture_seed42.png
DDIM,p06_arch,42,16.568,0.315585,0.261475,0.839317,reports/experiments/exp4_sdxl/images/DDIM/p06_arch_seed42.png
DDIM,p07_hands,42,16.622,0.304974,0.249146,0.743309,reports/experiments/exp4_sdxl/images/DDIM/p07_hands_seed42.png
DDIM,p08_crowd,42,16.691,0.354597,0.290771,1.377445,reports/experiments/exp4_sdxl/images/DDIM/p08_crowd_seed42.png
DPM,p01_portrait,42,16.644,0.331263,0.311035,0.746675,reports/experiments/exp4_sdxl/images/DPM/p01_portrait_seed42.png
DPM,p02_landscape,42,16.626,0.329392,0.294922,1.590925,reports/experiments/exp4_sdxl/images/DPM/p02_landscape_seed42.png
DPM,p03_abstract,42,16.717,0.267725,0.233521,0.276989,reports/experiments/exp4_sdxl/images/DPM/p03_abstract_seed42.png
DPM,p04_text,42,16.677,0.303634,0.219482,0.957463,reports/experiments/exp4_sdxl/images/DPM/p04_text_seed42.png
DPM,p05_texture,42,16.742,0.311786,0.206055,-1.943966,reports/experiments/exp4_sdxl/images/DPM/p05_texture_seed42.png
DPM,p06_arch,42,16.696,0.302746,0.273193,0.995343,reports/experiments/exp4_sdxl/images/DPM/p06_arch_seed42.png
DPM,p07_hands,42,16.592,0.285629,0.238647,0.465894,reports/experiments/exp4_sdxl/images/DPM/p07_hands_seed42.png
DPM,p08_crowd,42,16.621,0.360414,0.291748,1.325178,reports/experiments/exp4_sdxl/images/DPM/p08_crowd_seed42.png
EulerA,p01_portrait,42,16.565,0.300222,0.289307,0.528109,reports/experiments/exp4_sdxl/images/EulerA/p01_portrait_seed42.png
EulerA,p02_landscape,42,16.631,0.344187,0.30835,1.347731,reports/experiments/exp4_sdxl/images/EulerA/p02_landscape_seed42.png
EulerA,p03_abstract,42,16.63,0.274824,0.236694,-0.17021,reports/experiments/exp4_sdxl/images/EulerA/p03_abstract_seed42.png
EulerA,p04_text,42,16.638,0.281184,0.233154,1.148135,reports/experiments/exp4_sdxl/images/EulerA/p04_text_seed42.png
EulerA,p05_texture,42,16.537,0.30881,0.204102,-1.412524,reports/experiments/exp4_sdxl/images/EulerA/p05_texture_seed42.png
EulerA,p06_arch,42,16.607,0.32326,0.264893,0.825222,reports/experiments/exp4_sdxl/images/EulerA/p06_arch_seed42.png
EulerA,p07_hands,42,16.598,0.312223,0.242554,0.795492,reports/experiments/exp4_sdxl/images/EulerA/p07_hands_seed42.png
EulerA,p08_crowd,42,16.636,0.344566,0.276611,1.716298,reports/experiments/exp4_sdxl/images/EulerA/p08_crowd_seed42.png
LMS,p01_portrait,42,16.574,0.331032,0.313232,0.871484,reports/experiments/exp4_sdxl/images/LMS/p01_portrait_seed42.png
LMS,p02_landscape,42,16.492,0.329409,0.295166,1.560627,reports/experiments/exp4_sdxl/images/LMS/p02_landscape_seed42.png
LMS,p03_abstract,42,16.653,0.265366,0.235596,-0.267799,reports/experiments/exp4_sdxl/images/LMS/p03_abstract_seed42.png
LMS,p04_text,42,16.524,0.307581,0.223633,0.768364,reports/experiments/exp4_sdxl/images/LMS/p04_text_seed42.png
LMS,p05_texture,42,16.613,0.309873,0.203735,-1.823336,reports/experiments/exp4_sdxl/images/LMS/p05_texture_seed42.png
LMS,p06_arch,42,16.602,0.331703,0.25293,0.887232,reports/experiments/exp4_sdxl/images/LMS/p06_arch_seed42.png
LMS,p07_hands,42,16.582,0.296588,0.251465,0.81198,reports/experiments/exp4_sdxl/images/LMS/p07_hands_seed42.png
LMS,p08_crowd,42,16.583,0.353412,0.300293,1.488051,reports/experiments/exp4_sdxl/images/LMS/p08_crowd_seed42.png
