pair,prompt_id,lpips_value
DDIM-DPM,p01_portrait,0.444453
DDIM-DPM,p02_landscape,0.161212
DDIM-DPM,p03_abstract,0.199042
DDIM-DPM,p04_text,0.467437
DDIM-DPM,p05_texture,0.23134
DDIM-DPM,p06_arch,0.193723
DDIM-DPM,p07_hands,0.277949
DDIM-DPM,p08_crowd,0.20958
DDIM-EulerA,p01_portrait,0.668353
DDIM-EulerA,p02_landscape,0.580654
DDIM-EulerA,p03_abstract,0.643488
DDIM-EulerA,p04_text,0.752701
DDIM-EulerA,p05_texture,0.908018
DDIM-EulerA,p06_arch,0.596944
DDIM-EulerA,p07_hands,0.639034
DDIM-EulerA,p08_crowd,0.61761
DDIM-LMS,p01_portrait,0.456337
DDIM-LMS,p02_landscape,0.137187
DDIM-LMS,p03_abstract,0.253592
DDIM-LMS,p04_text,0.32806
DDIM-LMS,p05_texture,0.272582
DDIM-LMS,p06_arch,0.273526
DDIM-LMS,p07_hands,0.27477
DDIM-LMS,p08_crowd,0.244482
DPM-EulerA,p01_portrait,0.674404
DPM-EulerA,p02_landscape,0.577605
DPM-EulerA,p03_abstract,0.641981
DPM-EulerA,p04_text,0.748988
DPM-EulerA,p05_texture,0.935458
DPM-EulerA,p06_arch,0.589296
DPM-EulerA,p07_hands,0.630532
DPM-EulerA,p08_crowd,0.61681
DPM-LMS,p01_portrait,0.221284
DPM-LMS,p02_landscape,0.07542
DPM-LMS,p03_abstract,0.215606
DPM-LMS,p04_text,0.481758
DPM-LMS,p05_texture,0.123045
DPM-LMS,p06_arch,0.267576
DPM-LMS,p07_hands,0.207734
DPM-LMS,p08_crowd,0.222242
EulerA-LMS,p01_portrait,0.688293
EulerA-LMS,p02_landscape,0.581233
EulerA-LMS,p03_abstract,0.645841
EulerA-LMS,p04_text,0.747714
EulerA-LMS,p05_texture,0.933468
EulerA-LMS,p06_arch,0.572592
EulerA-LMS,p07_hands,0.642627
EulerA-LMS,p08_crowd,0.617499
