strength,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
0.0,pp_001,42,7.587,0.229498,0.706892,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_001_seed42.png
0.0,pp_001,123,5.496,0.243462,0.702316,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_001_seed123.png
0.0,pp_001,456,5.217,0.253517,0.787134,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_001_seed456.png
0.0,pp_001,789,5.249,0.269497,0.676778,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_001_seed789.png
0.0,pp_001,1337,5.281,0.213245,0.679333,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_001_seed1337.png
0.0,pp_002,42,5.596,0.310221,0.661553,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_002_seed42.png
0.0,pp_002,123,5.229,0.304619,0.66877,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_002_seed123.png
0.0,pp_002,456,5.101,0.326688,0.777856,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_002_seed456.png
0.0,pp_002,789,5.202,0.325316,0.68618,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_002_seed789.png
0.0,pp_002,1337,5.379,0.302427,0.63105,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_002_seed1337.png
0.0,pp_003,42,5.253,0.255619,0.710327,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_003_seed42.png
0.0,pp_003,123,5.214,0.244763,0.751536,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_003_seed123.png
0.0,pp_003,456,5.229,0.272336,0.715417,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_003_seed456.png
0.0,pp_003,789,5.205,0.259007,0.753032,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_003_seed789.png
0.0,pp_003,1337,5.148,0.290898,0.654668,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_003_seed1337.png
0.0,pp_004,42,5.188,0.362061,0.79457,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_004_seed42.png
0.0,pp_004,123,5.236,0.376747,0.726167,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_004_seed123.png
0.0,pp_004,456,8.145,0.350819,0.814753,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_004_seed456.png
0.0,pp_004,789,7.994,0.368778,0.901943,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_004_seed789.png
0.0,pp_004,1337,7.852,0.389378,0.753176,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_004_seed1337.png
0.0,pp_005,42,7.882,0.376733,0.764091,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_005_seed42.png
0.0,pp_005,123,7.94,0.372747,0.768945,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_005_seed123.png
0.0,pp_005,456,7.763,0.369601,0.808634,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_005_seed456.png
0.0,pp_005,789,7.686,0.371593,0.749607,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_005_seed789.png
0.0,pp_005,1337,7.738,0.383733,0.777174,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_005_seed1337.png
0.0,pp_006,42,7.219,0.292114,0.578714,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_006_seed42.png
0.0,pp_006,123,7.226,0.294077,0.551434,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_006_seed123.png
0.0,pp_006,456,7.839,0.298879,0.688095,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_006_seed456.png
0.0,pp_006,789,7.681,0.305051,0.765717,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_006_seed789.png
0.0,pp_006,1337,7.963,0.297728,0.520009,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_006_seed1337.png
0.0,pp_007,42,7.779,0.297982,0.700731,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_007_seed42.png
0.0,pp_007,123,7.921,0.353807,0.737178,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_007_seed123.png
0.0,pp_007,456,7.935,0.304719,0.5695,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_007_seed456.png
0.0,pp_007,789,7.692,0.29466,0.733957,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_007_seed789.png
0.0,pp_007,1337,7.746,0.304786,0.695329,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_007_seed1337.png
0.0,pp_008,42,7.703,0.293396,0.691443,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_008_seed42.png
0.0,pp_008,123,7.931,0.317617,0.698452,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_008_seed123.png
0.0,pp_008,456,7.767,0.310368,0.594508,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_008_seed456.png
0.0,pp_008,789,7.559,0.32056,0.998694,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_008_seed789.png
0.0,pp_008,1337,7.082,0.269493,0.697069,,reports/experiments/exp5_controlnet_strength/images/strength_0.0/pp_008_seed1337.png
0.25,pp_001,42,7.227,0.243078,0.656065,0.579292,reports/experiments/exp5_controlnet_strength/images/strength_0.25/pp_001_seed42.png
