strength,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,lpips_vs_prev,image_path
0.0,p01,42,69.64,0.278356,0.234985,0.398593,0.427962,,reports/experiments/exp5_sdxl/images/strength_0.0/p01_seed42.png
0.0,p01,123,23.83,0.269011,0.275146,0.388819,0.653432,,reports/experiments/exp5_sdxl/images/strength_0.0/p01_seed123.png
0.0,p01,456,23.539,0.269799,0.311035,0.746557,0.782653,,reports/experiments/exp5_sdxl/images/strength_0.0/p01_seed456.png
0.0,p01,789,23.365,0.229966,0.227661,-0.889395,0.641543,,reports/experiments/exp5_sdxl/images/strength_0.0/p01_seed789.png
0.0,p01,1337,23.526,0.268135,0.275879,0.718939,0.692828,,reports/experiments/exp5_sdxl/images/strength_0.0/p01_seed1337.png
0.0,p02,42,23.645,0.349223,0.316895,1.453141,0.411477,,reports/experiments/exp5_sdxl/images/strength_0.0/p02_seed42.png
0.0,p02,123,23.495,0.2752,0.204468,-2.202501,0.90818,,reports/experiments/exp5_sdxl/images/strength_0.0/p02_seed123.png
0.0,p02,456,23.489,0.333889,0.289307,-0.329688,0.757594,,reports/experiments/exp5_sdxl/images/strength_0.0/p02_seed456.png
0.0,p02,789,23.493,0.345632,0.316162,1.379751,0.687686,,reports/experiments/exp5_sdxl/images/strength_0.0/p02_seed789.png
0.0,p02,1337,23.22,0.317288,0.276611,1.134159,0.831748,,reports/experiments/exp5_sdxl/images/strength_0.0/p02_seed1337.png
0.0,p03,42,23.477,0.291138,0.312744,1.107825,0.44641,,reports/experiments/exp5_sdxl/images/strength_0.0/p03_seed42.png
0.0,p03,123,23.578,0.274284,0.282471,0.639772,0.736876,,reports/experiments/exp5_sdxl/images/strength_0.0/p03_seed123.png
0.0,p03,456,23.551,0.296186,0.30249,1.006344,0.836881,,reports/experiments/exp5_sdxl/images/strength_0.0/p03_seed456.png
0.0,p03,789,23.486,0.297596,0.283936,1.02427,0.781394,,reports/experiments/exp5_sdxl/images/strength_0.0/p03_seed789.png
0.0,p03,1337,23.433,0.296969,0.280029,0.597901,0.803215,,reports/experiments/exp5_sdxl/images/strength_0.0/p03_seed1337.png
0.0,p04,42,23.402,0.305126,0.22522,-2.121641,0.564736,,reports/experiments/exp5_sdxl/images/strength_0.0/p04_seed42.png
0.0,p04,123,23.55,0.27633,0.219238,-2.039635,0.758526,,reports/experiments/exp5_sdxl/images/strength_0.0/p04_seed123.png
0.0,p04,456,23.514,0.393351,0.334961,1.574509,0.876671,,reports/experiments/exp5_sdxl/images/strength_0.0/p04_seed456.png
0.0,p04,789,23.522,0.390085,0.331299,1.832433,0.862349,,reports/experiments/exp5_sdxl/images/strength_0.0/p04_seed789.png
0.0,p04,1337,23.557,0.376185,0.279785,0.743931,0.861157,,reports/experiments/exp5_sdxl/images/strength_0.0/p04_seed1337.png
0.0,p05,42,23.505,0.388265,0.288818,0.119296,0.486349,,reports/experiments/exp5_sdxl/images/strength_0.0/p05_seed42.png
0.0,p05,123,23.682,0.353673,0.258301,-1.585096,0.755288,,reports/experiments/exp5_sdxl/images/strength_0.0/p05_seed123.png
0.0,p05,456,23.546,0.38249,0.378174,0.812463,0.833657,,reports/experiments/exp5_sdxl/images/strength_0.0/p05_seed456.png
0.0,p05,789,23.475,0.410412,0.358887,0.323976,0.676444,,reports/experiments/exp5_sdxl/images/strength_0.0/p05_seed789.png
0.0,p05,1337,23.407,0.388463,0.361328,1.544204,0.854523,,reports/experiments/exp5_sdxl/images/strength_0.0/p05_seed1337.png
0.0,p06,42,23.5,0.303291,0.282471,0.446785,0.436331,,reports/experiments/exp5_sdxl/images/strength_0.0/p06_seed42.png
0.0,p06,123,23.402,0.313382,0.284668,0.650388,0.738206,,reports/experiments/exp5_sdxl/images/strength_0.0/p06_seed123.png
0.0,p06,456,23.394,0.312983,0.294678,0.454461,0.741982,,reports/experiments/exp5_sdxl/images/strength_0.0/p06_seed456.png
0.0,p06,789,23.313,0.2974,0.271484,0.172111,0.64921,,reports/experiments/exp5_sdxl/images/strength_0.0/p06_seed789.png
0.0,p06,1337,23.463,0.310179,0.282471,0.408618,0.69466,,reports/experiments/exp5_sdxl/images/strength_0.0/p06_seed1337.png
0.0,p07,42,23.491,0.293636,0.251221,-0.906064,0.679781,,reports/experiments/exp5_sdxl/images/strength_0.0/p07_seed42.png
0.0,p07,123,23.489,0.28183,0.249268,-1.711773,0.737789,,reports/experiments/exp5_sdxl/images/strength_0.0/p07_seed123.png
0.0,p07,456,23.512,0.30159,0.262939,1.529704,0.734911,,reports/experiments/exp5_sdxl/images/strength_0.0/p07_seed456.png
0.0,p07,789,23.496,0.320944,0.275879,1.864191,0.660931,,reports/experiments/exp5_sdxl/images/strength_0.0/p07_seed789.png
0.0,p07,1337,23.642,0.274929,0.243408,-1.418677,0.770805,,reports/experiments/exp5_sdxl/images/strength_0.0/p07_seed1337.png
0.0,p08,42,23.479,0.284002,0.314209,-1.109,0.454038,,reports/experiments/exp5_sdxl/images/strength_0.0/p08_seed42.png
0.0,p08,123,23.422,0.248978,0.244873,-1.478252,0.751624,,reports/experiments/exp5_sdxl/images/strength_0.0/p08_seed123.png
0.0,p08,456,23.54,0.296569,0.314453,-0.325508,0.699245,,reports/experiments/exp5_sdxl/images/strength_0.0/p08_seed456.png
0.0,p08,789,23.423,0.275577,0.26416,-1.255194,0.734795,,reports/experiments/exp5_sdxl/images/strength_0.0/p08_seed789.png
0.0,p08,1337,23.516,0.265809,0.27124,-1.193125,0.726669,,reports/experiments/exp5_sdxl/images/strength_0.0/p08_seed1337.png
0.25,p01,42,23.458,0.267084,0.256836,0.511613,0.262126,0.36364,reports/experiments/exp5_sdxl/images/strength_0.25/p01_seed42.png
0.25,p01,123,23.502,0.29295,0.249023,0.606696,0.497979,0.564237,reports/experiments/exp5_sdxl/images/strength_0.25/p01_seed123.png
0.25,p01,456,23.544,0.303713,0.251953,0.468569,0.557229,0.817083,reports/experiments/exp5_sdxl/images/strength_0.25/p01_seed456.png
0.25,p01,789,23.523,0.311395,0.250977,0.407443,0.561207,0.533715,reports/experiments/exp5_sdxl/images/strength_0.25/p01_seed789.png
0.25,p01,1337,23.512,0.316269,0.258545,0.63408,0.559152,0.618281,reports/experiments/exp5_sdxl/images/strength_0.25/p01_seed1337.png
0.25,p02,42,23.498,0.346549,0.317383,1.266716,0.289129,0.248798,reports/experiments/exp5_sdxl/images/strength_0.25/p02_seed42.png
0.25,p02,123,23.442,0.347325,0.313721,1.602188,0.42567,0.919725,reports/experiments/exp5_sdxl/images/strength_0.25/p02_seed123.png
0.25,p02,456,23.519,0.353263,0.321777,1.581811,0.434425,0.646207,reports/experiments/exp5_sdxl/images/strength_0.25/p02_seed456.png
0.25,p02,789,23.537,0.350637,0.320557,1.353857,0.448727,0.597688,reports/experiments/exp5_sdxl/images/strength_0.25/p02_seed789.png
0.25,p02,1337,23.544,0.352679,0.321533,1.671196,0.41088,0.827889,reports/experiments/exp5_sdxl/images/strength_0.25/p02_seed1337.png
0.25,p03,42,23.527,0.286293,0.321289,1.372063,0.177442,0.408065,reports/experiments/exp5_sdxl/images/strength_0.25/p03_seed42.png
0.25,p03,123,23.57,0.284119,0.282227,0.819508,0.626167,0.599107,reports/experiments/exp5_sdxl/images/strength_0.25/p03_seed123.png
0.25,p03,456,23.552,0.299787,0.317139,1.512356,0.589921,0.724972,reports/experiments/exp5_sdxl/images/strength_0.25/p03_seed456.png
0.25,p03,789,23.499,0.274862,0.288574,0.953736,0.641902,0.713298,reports/experiments/exp5_sdxl/images/strength_0.25/p03_seed789.png
0.25,p03,1337,23.427,0.296283,0.293945,1.051509,0.629596,0.700815,reports/experiments/exp5_sdxl/images/strength_0.25/p03_seed1337.png
0.25,p04,42,23.655,0.31983,0.238647,-1.862291,0.145108,0.569052,reports/experiments/exp5_sdxl/images/strength_0.25/p04_seed42.png
0.25,p04,123,23.565,0.346086,0.264648,-0.937858,0.595324,0.741151,reports/experiments/exp5_sdxl/images/strength_0.25/p04_seed123.png
0.25,p04,456,23.58,0.352252,0.260254,-1.130354,0.654809,0.773535,reports/experiments/exp5_sdxl/images/strength_0.25/p04_seed456.png
0.25,p04,789,23.451,0.381099,0.301514,0.577676,0.692213,0.698019,reports/experiments/exp5_sdxl/images/strength_0.25/p04_seed789.png
0.25,p04,1337,23.479,0.370144,0.275879,-1.37363,0.775813,0.613545,reports/experiments/exp5_sdxl/images/strength_0.25/p04_seed1337.png
0.25,p05,42,23.56,0.397282,0.314209,0.514916,0.120564,0.467377,reports/experiments/exp5_sdxl/images/strength_0.25/p05_seed42.png
0.25,p05,123,23.562,0.377842,0.320312,-0.568524,0.603523,0.747378,reports/experiments/exp5_sdxl/images/strength_0.25/p05_seed123.png
0.25,p05,456,23.477,0.398994,0.34375,1.66718,0.707607,0.588077,reports/experiments/exp5_sdxl/images/strength_0.25/p05_seed456.png
0.25,p05,789,23.47,0.394495,0.354004,-0.062293,0.617767,0.499595,reports/experiments/exp5_sdxl/images/strength_0.25/p05_seed789.png
0.25,p05,1337,23.515,0.39631,0.311035,-0.556353,0.69114,0.875237,reports/experiments/exp5_sdxl/images/strength_0.25/p05_seed1337.png
0.25,p06,42,23.52,0.301483,0.281982,0.46355,0.262672,0.268953,reports/experiments/exp5_sdxl/images/strength_0.25/p06_seed42.png
0.25,p06,123,23.372,0.302775,0.264404,0.478284,0.653423,0.575136,reports/experiments/exp5_sdxl/images/strength_0.25/p06_seed123.png
0.25,p06,456,23.448,0.306053,0.27417,0.815015,0.654513,0.804164,reports/experiments/exp5_sdxl/images/strength_0.25/p06_seed456.png
0.25,p06,789,23.4,0.304306,0.274658,0.335453,0.50334,0.632157,reports/experiments/exp5_sdxl/images/strength_0.25/p06_seed789.png
0.25,p06,1337,23.458,0.297728,0.257568,0.123369,0.405617,0.626145,reports/experiments/exp5_sdxl/images/strength_0.25/p06_seed1337.png
0.25,p07,42,23.58,0.262263,0.294189,0.40051,0.28715,0.641923,reports/experiments/exp5_sdxl/images/strength_0.25/p07_seed42.png
0.25,p07,123,23.467,0.270564,0.259521,-1.970064,0.470102,0.677728,reports/experiments/exp5_sdxl/images/strength_0.25/p07_seed123.png
0.25,p07,456,23.025,0.26624,0.265625,-1.196206,0.475955,0.715117,reports/experiments/exp5_sdxl/images/strength_0.25/p07_seed456.png
