alpha,prompt_id,seed,latency_s,clip_score,lpips_vs_ref,lpips_vs_prev,image_path
0.0,p01_portrait,42,10.586,0.352774,0.703791,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed42.png
0.0,p01_portrait,123,9.147,0.297396,0.780167,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed123.png
0.0,p01_portrait,456,8.611,0.350073,0.71714,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed456.png
0.0,p01_portrait,789,7.912,0.378822,0.776325,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed789.png
0.0,p01_portrait,1337,7.698,0.328927,0.589654,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p01_portrait_seed1337.png
0.0,p02_landscape,42,7.845,0.333111,0.580228,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed42.png
0.0,p02_landscape,123,7.576,0.332101,0.785179,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed123.png
0.0,p02_landscape,456,7.305,0.330759,0.69682,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed456.png
0.0,p02_landscape,789,7.188,0.293201,0.77975,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed789.png
0.0,p02_landscape,1337,7.233,0.279819,0.678292,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p02_landscape_seed1337.png
0.0,p03_abstract,42,6.763,0.334134,0.632494,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed42.png
0.0,p03_abstract,123,6.925,0.294711,0.787189,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed123.png
0.0,p03_abstract,456,6.807,0.309152,0.609861,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed456.png
0.0,p03_abstract,789,6.878,0.311883,0.423543,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed789.png
0.0,p03_abstract,1337,6.881,0.326149,0.5822,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p03_abstract_seed1337.png
0.0,p04_text,42,6.758,0.331057,0.640582,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed42.png
0.0,p04_text,123,6.95,0.309938,0.640234,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed123.png
0.0,p04_text,456,6.836,0.319599,0.705369,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed456.png
0.0,p04_text,789,6.845,0.276797,0.613384,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed789.png
0.0,p04_text,1337,6.853,0.283456,0.669866,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p04_text_seed1337.png
0.0,p05_texture,42,6.766,0.31302,0.509479,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed42.png
0.0,p05_texture,123,7.24,0.32784,0.547606,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed123.png
0.0,p05_texture,456,6.997,0.280027,0.767271,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed456.png
0.0,p05_texture,789,6.987,0.275674,0.645073,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed789.png
0.0,p05_texture,1337,4.549,0.293249,0.480071,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p05_texture_seed1337.png
0.0,p06_arch,42,6.572,0.324071,0.695256,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed42.png
0.0,p06_arch,123,7.114,0.328797,0.768727,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed123.png
0.0,p06_arch,456,6.844,0.315228,0.79323,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed456.png
0.0,p06_arch,789,6.803,0.28641,0.550657,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed789.png
0.0,p06_arch,1337,6.842,0.322896,0.733037,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p06_arch_seed1337.png
0.0,p07_hands,42,6.854,0.320244,0.726692,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed42.png
0.0,p07_hands,123,6.447,0.285477,0.872319,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed123.png
0.0,p07_hands,456,4.569,0.298054,0.678698,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed456.png
0.0,p07_hands,789,4.588,0.300476,0.731888,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed789.png
0.0,p07_hands,1337,4.58,0.314118,0.707491,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p07_hands_seed1337.png
0.0,p08_crowd,42,6.95,0.364433,0.618495,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed42.png
0.0,p08_crowd,123,7.016,0.330309,0.666145,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed123.png
0.0,p08_crowd,456,7.379,0.351036,0.671015,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed456.png
0.0,p08_crowd,789,6.941,0.343701,0.742389,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed789.png
0.0,p08_crowd,1337,6.839,0.306997,0.65981,,reports/experiments/exp6_lora_alpha/images/alpha_0.0/p08_crowd_seed1337.png
0.25,p01_portrait,42,6.892,0.362075,0.705745,0.287443,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed42.png
0.25,p01_portrait,123,7.194,0.342404,0.604542,0.764286,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed123.png
0.25,p01_portrait,456,6.865,0.347239,0.675855,0.330267,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed456.png
0.25,p01_portrait,789,6.971,0.355589,0.733736,0.223408,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed789.png
0.25,p01_portrait,1337,6.826,0.343209,0.536402,0.238935,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p01_portrait_seed1337.png
0.25,p02_landscape,42,4.618,0.36648,0.470311,0.320109,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed42.png
0.25,p02_landscape,123,4.609,0.334905,0.753989,0.359062,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed123.png
0.25,p02_landscape,456,4.421,0.36113,0.500662,0.551397,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed456.png
0.25,p02_landscape,789,5.647,0.366046,0.690263,0.523672,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed789.png
0.25,p02_landscape,1337,6.874,0.323324,0.610194,0.472973,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p02_landscape_seed1337.png
0.25,p03_abstract,42,4.789,0.344725,0.598773,0.240148,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed42.png
0.25,p03_abstract,123,6.75,0.295353,0.780796,0.482522,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed123.png
0.25,p03_abstract,456,4.99,0.294057,0.521519,0.614499,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed456.png
0.25,p03_abstract,789,6.595,0.317191,0.285913,0.272599,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed789.png
0.25,p03_abstract,1337,4.846,0.302085,0.597028,0.356663,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p03_abstract_seed1337.png
0.25,p04_text,42,4.604,0.358018,0.619895,0.424954,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p04_text_seed42.png
0.25,p04_text,123,5.983,0.282543,0.507155,0.626977,reports/experiments/exp6_lora_alpha/images/alpha_0.25/p04_text_seed123.png
