rank,prompt_id,seed,latency_s,clip_score,lpips_vs_rank8,lpips_vs_prev_rank,image_path
4,p01_portrait,42,15.034,0.380952,0.541083,,reports/experiments/exp6_lora_rank/images/rank_4/p01_portrait_seed42.png
4,p01_portrait,123,11.051,0.348708,0.785468,,reports/experiments/exp6_lora_rank/images/rank_4/p01_portrait_seed123.png
4,p01_portrait,456,11.266,0.365893,0.51253,,reports/experiments/exp6_lora_rank/images/rank_4/p01_portrait_seed456.png
4,p01_portrait,789,11.646,0.359873,0.438918,,reports/experiments/exp6_lora_rank/images/rank_4/p01_portrait_seed789.png
4,p01_portrait,1337,10.214,0.366211,0.394056,,reports/experiments/exp6_lora_rank/images/rank_4/p01_portrait_seed1337.png
4,p02_landscape,42,10.38,0.356075,0.307146,,reports/experiments/exp6_lora_rank/images/rank_4/p02_landscape_seed42.png
4,p02_landscape,123,10.603,0.361136,0.654207,,reports/experiments/exp6_lora_rank/images/rank_4/p02_landscape_seed123.png
4,p02_landscape,456,11.138,0.360583,0.422854,,reports/experiments/exp6_lora_rank/images/rank_4/p02_landscape_seed456.png
4,p02_landscape,789,10.447,0.36116,0.474007,,reports/experiments/exp6_lora_rank/images/rank_4/p02_landscape_seed789.png
4,p02_landscape,1337,10.227,0.362223,0.530624,,reports/experiments/exp6_lora_rank/images/rank_4/p02_landscape_seed1337.png
4,p03_wave,42,10.349,0.318604,0.642077,,reports/experiments/exp6_lora_rank/images/rank_4/p03_wave_seed42.png
4,p03_wave,123,10.613,0.301914,0.319506,,reports/experiments/exp6_lora_rank/images/rank_4/p03_wave_seed123.png
4,p03_wave,456,10.527,0.311719,0.256106,,reports/experiments/exp6_lora_rank/images/rank_4/p03_wave_seed456.png
4,p03_wave,789,10.325,0.297688,0.258568,,reports/experiments/exp6_lora_rank/images/rank_4/p03_wave_seed789.png
4,p03_wave,1337,10.422,0.336736,0.40351,,reports/experiments/exp6_lora_rank/images/rank_4/p03_wave_seed1337.png
4,p04_arch,42,10.307,0.318456,0.453128,,reports/experiments/exp6_lora_rank/images/rank_4/p04_arch_seed42.png
4,p04_arch,123,10.358,0.340639,0.520046,,reports/experiments/exp6_lora_rank/images/rank_4/p04_arch_seed123.png
4,p04_arch,456,10.252,0.321954,0.573388,,reports/experiments/exp6_lora_rank/images/rank_4/p04_arch_seed456.png
4,p04_arch,789,10.441,0.285101,0.524524,,reports/experiments/exp6_lora_rank/images/rank_4/p04_arch_seed789.png
4,p04_arch,1337,10.407,0.319582,0.655766,,reports/experiments/exp6_lora_rank/images/rank_4/p04_arch_seed1337.png
4,p05_texture,42,10.453,0.310965,0.320579,,reports/experiments/exp6_lora_rank/images/rank_4/p05_texture_seed42.png
4,p05_texture,123,10.255,0.305546,0.233318,,reports/experiments/exp6_lora_rank/images/rank_4/p05_texture_seed123.png
4,p05_texture,456,10.519,0.337583,0.368681,,reports/experiments/exp6_lora_rank/images/rank_4/p05_texture_seed456.png
4,p05_texture,789,10.327,0.333307,0.23647,,reports/experiments/exp6_lora_rank/images/rank_4/p05_texture_seed789.png
4,p05_texture,1337,10.543,0.272502,0.284545,,reports/experiments/exp6_lora_rank/images/rank_4/p05_texture_seed1337.png
4,p06_crowd,42,10.391,0.369533,0.431017,,reports/experiments/exp6_lora_rank/images/rank_4/p06_crowd_seed42.png
4,p06_crowd,123,10.295,0.366034,0.447634,,reports/experiments/exp6_lora_rank/images/rank_4/p06_crowd_seed123.png
4,p06_crowd,456,10.355,0.351891,0.453738,,reports/experiments/exp6_lora_rank/images/rank_4/p06_crowd_seed456.png
4,p06_crowd,789,11.486,0.366399,0.547244,,reports/experiments/exp6_lora_rank/images/rank_4/p06_crowd_seed789.png
4,p06_crowd,1337,10.418,0.363093,0.55392,,reports/experiments/exp6_lora_rank/images/rank_4/p06_crowd_seed1337.png
8,p01_portrait,42,10.944,0.348552,0.0,0.541083,reports/experiments/exp6_lora_rank/images/rank_8/p01_portrait_seed42.png
8,p01_portrait,123,10.682,0.305475,0.0,0.785468,reports/experiments/exp6_lora_rank/images/rank_8/p01_portrait_seed123.png
8,p01_portrait,456,10.379,0.329262,0.0,0.51253,reports/experiments/exp6_lora_rank/images/rank_8/p01_portrait_seed456.png
8,p01_portrait,789,10.426,0.354149,0.0,0.438918,reports/experiments/exp6_lora_rank/images/rank_8/p01_portrait_seed789.png
8,p01_portrait,1337,10.428,0.362841,0.0,0.394056,reports/experiments/exp6_lora_rank/images/rank_8/p01_portrait_seed1337.png
8,p02_landscape,42,10.526,0.3594,0.0,0.307146,reports/experiments/exp6_lora_rank/images/rank_8/p02_landscape_seed42.png
8,p02_landscape,123,10.464,0.342823,0.0,0.654207,reports/experiments/exp6_lora_rank/images/rank_8/p02_landscape_seed123.png
8,p02_landscape,456,10.415,0.362168,0.0,0.422854,reports/experiments/exp6_lora_rank/images/rank_8/p02_landscape_seed456.png
8,p02_landscape,789,14.255,0.387244,0.0,0.474007,reports/experiments/exp6_lora_rank/images/rank_8/p02_landscape_seed789.png
8,p02_landscape,1337,12.982,0.367347,0.0,0.530624,reports/experiments/exp6_lora_rank/images/rank_8/p02_landscape_seed1337.png
8,p03_wave,42,12.882,0.315329,0.0,0.642077,reports/experiments/exp6_lora_rank/images/rank_8/p03_wave_seed42.png
8,p03_wave,123,10.934,0.297967,0.0,0.319506,reports/experiments/exp6_lora_rank/images/rank_8/p03_wave_seed123.png
8,p03_wave,456,10.395,0.302039,0.0,0.256106,reports/experiments/exp6_lora_rank/images/rank_8/p03_wave_seed456.png
8,p03_wave,789,10.569,0.30341,0.0,0.258568,reports/experiments/exp6_lora_rank/images/rank_8/p03_wave_seed789.png
8,p03_wave,1337,10.519,0.343931,0.0,0.40351,reports/experiments/exp6_lora_rank/images/rank_8/p03_wave_seed1337.png
8,p04_arch,42,11.115,0.326696,0.0,0.453128,reports/experiments/exp6_lora_rank/images/rank_8/p04_arch_seed42.png
8,p04_arch,123,10.383,0.324334,0.0,0.520046,reports/experiments/exp6_lora_rank/images/rank_8/p04_arch_seed123.png
8,p04_arch,456,11.255,0.323408,0.0,0.573388,reports/experiments/exp6_lora_rank/images/rank_8/p04_arch_seed456.png
8,p04_arch,789,11.629,0.312849,0.0,0.524524,reports/experiments/exp6_lora_rank/images/rank_8/p04_arch_seed789.png
8,p04_arch,1337,10.759,0.322229,0.0,0.655766,reports/experiments/exp6_lora_rank/images/rank_8/p04_arch_seed1337.png
8,p05_texture,42,10.814,0.286919,0.0,0.320579,reports/experiments/exp6_lora_rank/images/rank_8/p05_texture_seed42.png
8,p05_texture,123,10.304,0.272697,0.0,0.233318,reports/experiments/exp6_lora_rank/images/rank_8/p05_texture_seed123.png
8,p05_texture,456,10.414,0.286385,0.0,0.368681,reports/experiments/exp6_lora_rank/images/rank_8/p05_texture_seed456.png
8,p05_texture,789,10.373,0.319309,0.0,0.23647,reports/experiments/exp6_lora_rank/images/rank_8/p05_texture_seed789.png
8,p05_texture,1337,11.313,0.318748,0.0,0.284545,reports/experiments/exp6_lora_rank/images/rank_8/p05_texture_seed1337.png
8,p06_crowd,42,10.673,0.364857,0.0,0.431017,reports/experiments/exp6_lora_rank/images/rank_8/p06_crowd_seed42.png
8,p06_crowd,123,10.259,0.361455,0.0,0.447634,reports/experiments/exp6_lora_rank/images/rank_8/p06_crowd_seed123.png
8,p06_crowd,456,10.419,0.372052,0.0,0.453738,reports/experiments/exp6_lora_rank/images/rank_8/p06_crowd_seed456.png
8,p06_crowd,789,10.717,0.378334,0.0,0.547244,reports/experiments/exp6_lora_rank/images/rank_8/p06_crowd_seed789.png
8,p06_crowd,1337,10.75,0.358933,0.0,0.55392,reports/experiments/exp6_lora_rank/images/rank_8/p06_crowd_seed1337.png
16,p01_portrait,42,10.887,0.34467,0.562934,0.562934,reports/experiments/exp6_lora_rank/images/rank_16/p01_portrait_seed42.png
16,p01_portrait,123,11.041,0.342358,0.814459,0.814459,reports/experiments/exp6_lora_rank/images/rank_16/p01_portrait_seed123.png
16,p01_portrait,456,10.455,0.355936,0.512201,0.512201,reports/experiments/exp6_lora_rank/images/rank_16/p01_portrait_seed456.png
16,p01_portrait,789,10.554,0.349087,0.705638,0.705638,reports/experiments/exp6_lora_rank/images/rank_16/p01_portrait_seed789.png
16,p01_portrait,1337,11.591,0.351899,0.594004,0.594004,reports/experiments/exp6_lora_rank/images/rank_16/p01_portrait_seed1337.png
16,p02_landscape,42,11.001,0.352567,0.339972,0.339972,reports/experiments/exp6_lora_rank/images/rank_16/p02_landscape_seed42.png
16,p02_landscape,123,10.437,0.353609,0.710779,0.710779,reports/experiments/exp6_lora_rank/images/rank_16/p02_landscape_seed123.png
16,p02_landscape,456,11.255,0.377178,0.417087,0.417087,reports/experiments/exp6_lora_rank/images/rank_16/p02_landscape_seed456.png
16,p02_landscape,789,10.662,0.369476,0.481961,0.481961,reports/experiments/exp6_lora_rank/images/rank_16/p02_landscape_seed789.png
16,p02_landscape,1337,10.673,0.37801,0.453341,0.453341,reports/experiments/exp6_lora_rank/images/rank_16/p02_landscape_seed1337.png
16,p03_wave,42,10.833,0.318114,0.600639,0.600639,reports/experiments/exp6_lora_rank/images/rank_16/p03_wave_seed42.png
16,p03_wave,123,10.634,0.316377,0.530194,0.530194,reports/experiments/exp6_lora_rank/images/rank_16/p03_wave_seed123.png
16,p03_wave,456,10.952,0.320558,0.342641,0.342641,reports/experiments/exp6_lora_rank/images/rank_16/p03_wave_seed456.png
16,p03_wave,789,10.707,0.303293,0.377579,0.377579,reports/experiments/exp6_lora_rank/images/rank_16/p03_wave_seed789.png
16,p03_wave,1337,10.906,0.33135,0.440409,0.440409,reports/experiments/exp6_lora_rank/images/rank_16/p03_wave_seed1337.png
16,p04_arch,42,10.743,0.338556,0.639293,0.639293,reports/experiments/exp6_lora_rank/images/rank_16/p04_arch_seed42.png
16,p04_arch,123,10.509,0.329534,0.534134,0.534134,reports/experiments/exp6_lora_rank/images/rank_16/p04_arch_seed123.png
16,p04_arch,456,10.765,0.320214,0.569382,0.569382,reports/experiments/exp6_lora_rank/images/rank_16/p04_arch_seed456.png
16,p04_arch,789,10.678,0.33734,0.647816,0.647816,reports/experiments/exp6_lora_rank/images/rank_16/p04_arch_seed789.png
16,p04_arch,1337,11.028,0.34651,0.607443,0.607443,reports/experiments/exp6_lora_rank/images/rank_16/p04_arch_seed1337.png
16,p05_texture,42,10.521,0.305389,0.197143,0.197143,reports/experiments/exp6_lora_rank/images/rank_16/p05_texture_seed42.png
16,p05_texture,123,10.484,0.277713,0.244962,0.244962,reports/experiments/exp6_lora_rank/images/rank_16/p05_texture_seed123.png
16,p05_texture,456,10.494,0.312785,0.542573,0.542573,reports/experiments/exp6_lora_rank/images/rank_16/p05_texture_seed456.png
16,p05_texture,789,10.414,0.300937,0.453261,0.453261,reports/experiments/exp6_lora_rank/images/rank_16/p05_texture_seed789.png
16,p05_texture,1337,11.173,0.310507,0.206138,0.206138,reports/experiments/exp6_lora_rank/images/rank_16/p05_texture_seed1337.png
