alpha,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_ref,image_path
0.0,p01_portrait,42,21.987,0.319337,0.3396,1.669295,0.739236,reports/experiments/exp8_sdxl/images/alpha_0.0/p01_portrait_seed42.png
0.0,p01_portrait,123,17.044,0.312746,0.326172,1.262235,0.698272,reports/experiments/exp8_sdxl/images/alpha_0.0/p01_portrait_seed123.png
0.0,p01_portrait,456,16.636,0.323808,0.323486,1.649547,0.717222,reports/experiments/exp8_sdxl/images/alpha_0.0/p01_portrait_seed456.png
0.0,p01_portrait,789,16.56,0.317186,0.299316,1.731358,0.803159,reports/experiments/exp8_sdxl/images/alpha_0.0/p01_portrait_seed789.png
0.0,p01_portrait,1337,16.704,0.3147,0.33252,1.743124,0.719353,reports/experiments/exp8_sdxl/images/alpha_0.0/p01_portrait_seed1337.png
0.0,p02_landscape,42,16.668,0.338319,0.292236,1.656791,0.693021,reports/experiments/exp8_sdxl/images/alpha_0.0/p02_landscape_seed42.png
0.0,p02_landscape,123,16.858,0.330063,0.30835,1.694514,0.712595,reports/experiments/exp8_sdxl/images/alpha_0.0/p02_landscape_seed123.png
0.0,p02_landscape,456,16.796,0.358935,0.303955,1.549896,0.683573,reports/experiments/exp8_sdxl/images/alpha_0.0/p02_landscape_seed456.png
0.0,p02_landscape,789,16.885,0.310317,0.23877,0.624708,0.805762,reports/experiments/exp8_sdxl/images/alpha_0.0/p02_landscape_seed789.png
0.0,p02_landscape,1337,16.895,0.348985,0.304199,1.301927,0.801158,reports/experiments/exp8_sdxl/images/alpha_0.0/p02_landscape_seed1337.png
0.0,p03_abstract,42,16.957,0.281708,0.228638,0.425452,0.56484,reports/experiments/exp8_sdxl/images/alpha_0.0/p03_abstract_seed42.png
0.0,p03_abstract,123,16.96,0.296033,0.225098,-0.328669,0.530416,reports/experiments/exp8_sdxl/images/alpha_0.0/p03_abstract_seed123.png
0.0,p03_abstract,456,16.901,0.30414,0.232544,0.446388,0.584499,reports/experiments/exp8_sdxl/images/alpha_0.0/p03_abstract_seed456.png
0.0,p03_abstract,789,16.964,0.301673,0.23291,0.451291,0.551559,reports/experiments/exp8_sdxl/images/alpha_0.0/p03_abstract_seed789.png
0.0,p03_abstract,1337,17.018,0.292498,0.220703,0.561014,0.536978,reports/experiments/exp8_sdxl/images/alpha_0.0/p03_abstract_seed1337.png
0.0,p04_text,42,17.051,0.301739,0.217285,1.509528,0.746815,reports/experiments/exp8_sdxl/images/alpha_0.0/p04_text_seed42.png
0.0,p04_text,123,17.059,0.346243,0.258789,0.310122,0.641809,reports/experiments/exp8_sdxl/images/alpha_0.0/p04_text_seed123.png
0.0,p04_text,456,17.075,0.308084,0.238281,1.574409,0.757301,reports/experiments/exp8_sdxl/images/alpha_0.0/p04_text_seed456.png
0.0,p04_text,789,17.131,0.337946,0.25415,1.319922,0.652135,reports/experiments/exp8_sdxl/images/alpha_0.0/p04_text_seed789.png
0.0,p04_text,1337,17.172,0.332868,0.255371,1.506561,0.727077,reports/experiments/exp8_sdxl/images/alpha_0.0/p04_text_seed1337.png
0.0,p05_texture,42,17.179,0.316046,0.212524,-1.626257,0.577166,reports/experiments/exp8_sdxl/images/alpha_0.0/p05_texture_seed42.png
0.0,p05_texture,123,17.182,0.300939,0.21582,-1.481799,0.67653,reports/experiments/exp8_sdxl/images/alpha_0.0/p05_texture_seed123.png
0.0,p05_texture,456,17.243,0.309736,0.213867,-1.511714,0.617069,reports/experiments/exp8_sdxl/images/alpha_0.0/p05_texture_seed456.png
0.0,p05_texture,789,17.211,0.301248,0.212646,-1.611533,0.607723,reports/experiments/exp8_sdxl/images/alpha_0.0/p05_texture_seed789.png
0.0,p05_texture,1337,17.169,0.314254,0.210815,-1.753813,0.662408,reports/experiments/exp8_sdxl/images/alpha_0.0/p05_texture_seed1337.png
0.0,p06_arch,42,17.133,0.318283,0.247559,1.150508,0.656371,reports/experiments/exp8_sdxl/images/alpha_0.0/p06_arch_seed42.png
0.0,p06_arch,123,17.206,0.335784,0.265137,1.511311,0.709068,reports/experiments/exp8_sdxl/images/alpha_0.0/p06_arch_seed123.png
0.0,p06_arch,456,17.15,0.339849,0.268555,1.168504,0.744006,reports/experiments/exp8_sdxl/images/alpha_0.0/p06_arch_seed456.png
0.0,p06_arch,789,17.129,0.319981,0.276367,1.35728,0.70138,reports/experiments/exp8_sdxl/images/alpha_0.0/p06_arch_seed789.png
0.0,p06_arch,1337,17.172,0.331436,0.242065,0.916551,0.730702,reports/experiments/exp8_sdxl/images/alpha_0.0/p06_arch_seed1337.png
0.0,p07_hands,42,17.17,0.289578,0.253662,0.886439,0.722167,reports/experiments/exp8_sdxl/images/alpha_0.0/p07_hands_seed42.png
0.0,p07_hands,123,17.224,0.322128,0.290039,1.471827,0.748078,reports/experiments/exp8_sdxl/images/alpha_0.0/p07_hands_seed123.png
0.0,p07_hands,456,17.277,0.271115,0.249023,0.869849,0.757981,reports/experiments/exp8_sdxl/images/alpha_0.0/p07_hands_seed456.png
0.0,p07_hands,789,17.151,0.28725,0.231445,0.827586,0.663871,reports/experiments/exp8_sdxl/images/alpha_0.0/p07_hands_seed789.png
0.0,p07_hands,1337,17.154,0.328121,0.251465,1.225247,0.782868,reports/experiments/exp8_sdxl/images/alpha_0.0/p07_hands_seed1337.png
0.0,p08_crowd,42,17.157,0.360348,0.298828,1.382473,0.664741,reports/experiments/exp8_sdxl/images/alpha_0.0/p08_crowd_seed42.png
0.0,p08_crowd,123,17.162,0.35263,0.285889,1.659936,0.735703,reports/experiments/exp8_sdxl/images/alpha_0.0/p08_crowd_seed123.png
0.0,p08_crowd,456,17.19,0.358674,0.291992,1.510143,0.742767,reports/experiments/exp8_sdxl/images/alpha_0.0/p08_crowd_seed456.png
0.0,p08_crowd,789,17.19,0.363478,0.295654,1.858582,0.722809,reports/experiments/exp8_sdxl/images/alpha_0.0/p08_crowd_seed789.png
0.0,p08_crowd,1337,17.21,0.356123,0.286865,1.564328,0.724553,reports/experiments/exp8_sdxl/images/alpha_0.0/p08_crowd_seed1337.png
