condition,prompt_id,seed,latency_s,clip_score,hps_score,ir_score,lpips_vs_no_trigger,image_path
no_trigger,p01_portrait,42,47.26,0.37863,0.255127,-0.00035,0.252142,reports/experiments/exp9_sdxl/images/no_trigger/p01_portrait_seed42.png
no_trigger,p01_portrait,123,20.446,0.348183,0.184692,-0.821844,0.274234,reports/experiments/exp9_sdxl/images/no_trigger/p01_portrait_seed123.png
no_trigger,p01_portrait,456,16.869,0.348822,0.230103,0.346496,0.423043,reports/experiments/exp9_sdxl/images/no_trigger/p01_portrait_seed456.png
no_trigger,p01_portrait,789,16.698,0.305376,0.238037,0.190278,0.401722,reports/experiments/exp9_sdxl/images/no_trigger/p01_portrait_seed789.png
no_trigger,p01_portrait,1337,16.797,0.332498,0.222168,-0.192365,0.309761,reports/experiments/exp9_sdxl/images/no_trigger/p01_portrait_seed1337.png
no_trigger,p02_landscape,42,16.954,0.352474,0.255127,1.288589,0.153835,reports/experiments/exp9_sdxl/images/no_trigger/p02_landscape_seed42.png
no_trigger,p02_landscape,123,16.93,0.365435,0.254395,0.76163,0.16465,reports/experiments/exp9_sdxl/images/no_trigger/p02_landscape_seed123.png
no_trigger,p02_landscape,456,16.919,0.349017,0.270752,1.32543,0.116943,reports/experiments/exp9_sdxl/images/no_trigger/p02_landscape_seed456.png
no_trigger,p02_landscape,789,16.921,0.349749,0.26416,1.516913,0.209975,reports/experiments/exp9_sdxl/images/no_trigger/p02_landscape_seed789.png
no_trigger,p02_landscape,1337,17.081,0.339242,0.23645,1.203874,0.133056,reports/experiments/exp9_sdxl/images/no_trigger/p02_landscape_seed1337.png
no_trigger,p03_abstract,42,17.075,0.279422,0.227783,-0.516882,0.319659,reports/experiments/exp9_sdxl/images/no_trigger/p03_abstract_seed42.png
no_trigger,p03_abstract,123,17.092,0.281762,0.227539,0.398428,0.428612,reports/experiments/exp9_sdxl/images/no_trigger/p03_abstract_seed123.png
no_trigger,p03_abstract,456,17.16,0.335639,0.227173,0.313543,0.549478,reports/experiments/exp9_sdxl/images/no_trigger/p03_abstract_seed456.png
no_trigger,p03_abstract,789,17.156,0.301307,0.229736,0.674828,0.474097,reports/experiments/exp9_sdxl/images/no_trigger/p03_abstract_seed789.png
